Burger King,2,0,0,Triple Whopper with cheese,,82,32,275,1590,52,3,11,71,1230,NULL,NULL,NULL,0
Burger King,2,0,0,Double Whopper With Cheese,,64,24,195,1520,52,3,11,52,990,NULL,NULL,NULL,0
Burger King,2,0,0,Bk Stackers Triple,,54,23,185,1450,33,1,5,48,800,NULL,NULL,NULL,0
Burger King,1,2,0,Garden Fresh Salad Chicken BLT,,33,9,125,1610,13,3,6,42,510,NULL,NULL,NULL,0
Burger King,2,0,1,Tendergrill Chicken Sandwich,,6,1,70,750,38,4,6,31,320,NULL,NULL,NULL,0
Burger King,0,0,2,Chicken Tenders (4 pieces),,9.7,1.8,18,319,11.5,1.8,null,7.1,168,NULL,NULL,NULL,0
Burger King,0,0,2,Ranch Grilled Chicken Wrap,,16,5,55,770,21,1,1,19,310,NULL,NULL,NULL,0
Burger King,1,0,2,Tendergrill Chicken BLT Salad,,23,10,75,1060,11,2,2,27,350,NULL,NULL,NULL,0
Burger King,2,0,1,Tendergrill Chicken Caesar Salad,,7,3,60,710,7,2,1,31,220,NULL,NULL,NULL,0
Burger King,0,0,2,Hamburger,,9,3,25,460,26,0.8,6,9,230,NULL,NULL,NULL,0
Burger King,0,0,2,Rodeo Burger,,13,4,25,450,38,null,null,9,310,NULL,NULL,NULL,0
Burger King,0,0,2,Whopper Jr.,,16,4.5,25,460,27,0.7,7,9,300,NULL,NULL,NULL,0
